"","ID","name","year","total_enrollment","female","asian","black","hispanic","multi_racial","native_american","white","disability","ESL","poverty","elementary","middle","high","mean_class_size","resp_rate_parent","outsiders_parent","resp_rate_student","outsiders_student","resp_rate_teacher","outsiders_teacher"
"1","01M034","P.S. 034 Franklin D. Roosevelt","2020-21",273,0.462,0.026,0.381,0.557,0.004,0.004,0.029,0.392,0.062,0.95,0.435897435897436,0.494505494505495,0,20.3888888888889,0.17,0.06,0.75,0.24,0.74,0.12
"2","01M140","P.S. 140 Nathan Straus","2020-21",358,0.466,0.02,0.212,0.729,0,0.003,0.036,0.372,0.073,0.95,0.430167597765363,0.513966480446927,0,19.8030303030303,0.08,0,0.51,0.07,0.54,0.05
"3","01M184","P.S. 184m Shuang Wen","2020-21",721,0.487,0.693,0.032,0.115,0.068,0.004,0.085,0.154,0.157,0.67,0.464632454923717,0.431345353675451,0,24.2962962962963,0.38,0.04,0.87,0.12,0.49,0.12
"4","01M188","P.S. 188 The Island School","2020-21",370,0.441,0.038,0.324,0.597,0.005,0.005,0.03,0.332,0.086,0.95,0.52972972972973,0.418918918918919,0,19.3166666666667,0.34,0.02,0.7,0,0.64,0.04
"5","01M332","University Neighborhood Middle School","2020-21",207,0.377,0.053,0.198,0.643,0,0.005,0.101,0.425,0.039,0.79,0,1,0,16.625,0.31,0.13,0.59,0.13,0.94,0
"6","01M378","School for Global Leaders","2020-21",185,0.438,0.076,0.184,0.622,0.022,0.011,0.086,0.351,0.124,0.86,0,1,0,21.6111111111111,0.07,0.25,0.43,0.2,0.63,0.33
"7","01M450","East Side Community School","2020-21",681,0.479,0.079,0.147,0.549,0.018,0.007,0.2,0.273,0.013,0.66,0,0.44640234948605,0.55359765051395,11.5912698412698,0.59,0.04,0.63,0.11,0.56,0
"8","01M539","New Explorations into Science, Technology and Math","2020-21",1791,0.509,0.348,0.062,0.116,0.087,0.003,0.381,0.125,0.017,0.23,0.33500837520938,0.238972640982691,0.370742601898381,29.21,0.37,0.04,0.8,0.15,0.74,0.03
"9","01M839","Tompkins Square Middle School","2020-21",354,0.5,0.169,0.15,0.441,0.017,0.003,0.22,0.285,0.042,0.66,0,1,0,27.0555555555556,0.34,0.07,0.65,0.09,0.57,0
"10","02M104","J.H.S. 104 Simon Baruch","2020-21",1017,0.472,0.393,0.064,0.168,0.04,0.002,0.322,0.163,0.041,0.43,0,1,0,22.4107142857143,0.35,0.06,0.85,0.13,0.97,0.02
"11","02M114","East Side Middle School","2020-21",435,0.559,0.198,0.037,0.115,0.048,0.007,0.575,0.189,0.002,0.16,0,1,0,27.9444444444444,0.23,0.05,0.87,0.13,1,0
"12","02M126","P.S. 126 Jacob August Riis","2020-21",677,0.473,0.644,0.092,0.171,0.035,0,0.058,0.223,0.124,0.75,0.440177252584934,0.514032496307238,0,23.1574074074074,0.07,0.02,0.76,0.09,0.67,0.05
"13","02M131","M.S. 131","2020-21",252,0.444,0.611,0.143,0.214,0.004,0,0.028,0.298,0.27,0.86,0,1,0,20.2333333333333,0.13,0.06,0.49,0.21,0.77,0
"14","02M167","J.H.S. 167 Robert F. Wagner","2020-21",1275,0.467,0.185,0.08,0.164,0.042,0.005,0.514,0.16,0.042,0.33,0,1,0,26.0972222222222,0.17,0.11,0.53,0.13,0.52,0.05
"15","02M177","Yorkville East Middle School","2020-21",240,0.475,0.104,0.083,0.188,0.038,0,0.558,0.267,0.021,0.26,0,1,0,26.1,0.26,0.05,0.3,0.16,0.64,0
"16","02M217","P.S./I.S. 217 Roosevelt Island","2020-21",620,0.539,0.319,0.095,0.158,0.06,0.003,0.365,0.123,0.155,0.28,0.691935483870968,0.141935483870968,0,28.4333333333333,0.61,0.05,0.56,0.2,0.9,0.06
"17","02M225","Ella Baker School","2020-21",343,0.496,0.093,0.143,0.292,0.073,0.032,0.367,0.222,0.012,0.25,0.641399416909621,0.221574344023324,0,18.75,0.32,0,0.67,0.06,0.86,0.04
"18","02M255","M.S. 255 Salk School of Science","2020-21",361,0.626,0.241,0.008,0.102,0.078,0.003,0.565,0.177,0.006,0.15,0,1,0,24.9722222222222,0.5,0.03,0.66,0.05,0.92,0
"19","02M260","The Clinton School","2020-21",791,0.649,0.137,0.034,0.113,0.053,0.005,0.628,0.181,0.003,0.15,0,0.361567635903919,0.638432364096081,31.4166666666667,0.16,0.07,0.22,0.11,0.71,0.05
"20","02M276","Battery Park City School","2020-21",791,0.491,0.228,0.028,0.115,0.094,0,0.535,0.183,0.037,0.14,0.533501896333755,0.361567635903919,0,23.0441176470588,0.33,0.07,0.6,0.13,0.94,0.02
"21","02M289","I.S. 289","2020-21",263,0.475,0.513,0.053,0.19,0.023,0.004,0.209,0.221,0.053,0.55,0,1,0,20.5555555555556,0.33,0.06,0.86,0.13,1,0
"22","02M297","M.S. 297","2020-21",818,0.54,0.087,0.117,0.295,0.043,0.006,0.447,0.22,0.024,0.41,0,1,0,26.125,0.11,0.1,0.03,0.17,0.54,0
"23","02M312","New York City Lab Middle School for Collaborative","2020-21",574,0.488,0.552,0.017,0.07,0.068,0.002,0.275,0.141,0.01,0.26,0,1,0,28.1349206349206,0.35,0.05,0.88,0.08,0.82,0.03
"24","02M347","The 47 American Sign Language & English Lower Scho","2020-21",192,0.521,0.031,0.214,0.479,0.047,0.005,0.219,0.516,0.141,0.66,0.661458333333333,0.229166666666667,0,15.4444444444444,0.26,0.02,0.86,0.2,0.67,0.04
"25","02M397","Spruce Street School","2020-21",492,0.498,0.195,0.039,0.171,0.096,0.01,0.484,0.22,0.03,0.18,0.532520325203252,0.347560975609756,0,23.8235294117647,0.36,0.05,0.78,0.12,0.72,0.07
"26","02M408","Professional Performing Arts High School","2020-21",563,0.718,0.066,0.192,0.226,0.055,0.007,0.43,0.201,0.005,0.33,0,0.161634103019538,0.838365896980462,29.3333333333333,0.11,0.05,0.05,0.14,0.77,0.04
"27","02M413","School of the Future High School","2020-21",735,0.503,0.186,0.116,0.203,0.079,0.007,0.41,0.234,0.019,0.38,0,0.4,0.6,23.3333333333333,0.53,0.07,0.66,0.14,0.67,0.06
"28","02M422","Quest to Learn","2020-21",609,0.422,0.097,0.273,0.422,0.034,0.003,0.163,0.274,0.03,0.68,0,0.380952380952381,0.619047619047619,16.3958333333333,0.18,0.12,0.27,0.16,0.78,0.11
"29","02M442","Ballet Tech, NYC Public School for Dance","2020-21",142,0.57,0.211,0.169,0.211,0.127,0.021,0.261,0.049,0.035,0.46,0.514084507042254,0.485915492957746,0,19,0.47,0,0.69,0.06,0.75,0
"30","02M896","Lower Manhattan Community Middle School","2020-21",378,0.519,0.413,0.069,0.146,0.05,0.005,0.312,0.265,0.053,0.51,0,1,0,29,0.71,0.02,0.93,0.11,1,0
"31","02M933","City Knoll Middle School","2020-21",129,0.442,0.039,0.163,0.667,0,0.008,0.124,0.302,0.163,0.86,0,1,0,17.1666666666667,0.16,0.1,0.8,0.15,1,0.07
"32","03M054","J.H.S. 054 Booker T. Washington","2020-21",828,0.499,0.114,0.083,0.191,0.069,0.011,0.516,0.21,0.028,0.27,0,1,0,27.0261904761905,0.31,0.04,0.31,0.13,0.81,0.02
"33","03M076","P.S. 076 A. Philip Randolph","2020-21",303,0.498,0.01,0.739,0.191,0.01,0.01,0.04,0.241,0.129,0.95,0.514851485148515,0.429042904290429,0,19.05,0.69,0.02,0.4,0.09,0.39,0.11
"34","03M149","P.S. 149 Sojourner Truth","2020-21",203,0.498,0.064,0.547,0.33,0.01,0.015,0.034,0.271,0.128,0.91,0.507389162561576,0.433497536945813,0,19.7222222222222,0.07,0.08,0.44,0.22,0.58,0.27
"35","03M180","P.S. 180 Hugo Newman","2020-21",435,0.48,0.032,0.457,0.338,0.03,0.005,0.131,0.205,0.097,0.69,0.606896551724138,0.271264367816092,0,19.7058823529412,0.22,0.07,0.54,0.28,0.79,0.15
"36","03M191","The Riverside School for Makers and Artists","2020-21",521,0.459,0.086,0.322,0.461,0.004,0.002,0.117,0.274,0.056,0.68,0.589251439539347,0.335892514395393,0,20.9166666666667,0.41,0.01,0.59,0.16,0.92,0.05
"37","03M245","M.S. M245 The Computer School","2020-21",389,0.553,0.044,0.116,0.306,0.067,0.003,0.455,0.216,0.015,0.3,0,1,0,23.625,0.28,0.03,0.34,0.09,0.7,0
